type,word,count,substituted_with
substitution,aint,1,i
substitution,aint,1,my
substitution,aint,1,top
substitution,aint,1,but
substitution,aint,1,upside
substitution,aint,1,ha
substitution,aint,1,look
substitution,aint,1,some
substitution,all,1,purses
substitution,all,1,em
substitution,all,1,are
substitution,all,1,by
substitution,all,1,im
substitution,all,1,off
substitution,all,1,damn
substitution,all,1,but
substitution,all,2,at
substitution,all,1,yeah
substitution,all,1,been
substitution,all,1,got
substitution,all,1,five
substitution,all,1,in
substitution,all,1,a
substitution,all,1,ball
substitution,that,2,i
substitution,that,1,a
substitution,that,1,ns
substitution,that,2,my
substitution,that,1,hope
substitution,that,1,soul
substitution,that,3,yummy
substitution,that,1,word
substitution,that,2,yeah
substitution,that,2,you
substitution,that,1,say
substitution,that,1,have
substitution,that,1,be
substitution,that,1,fill
substitution,that,1,see
substitution,that,1,tell
substitution,that,1,fix
substitution,that,1,the
substitution,that,1,dont
substitution,that,1,and
substitution,that,1,got
substitution,that,1,no
substitution,fine,1,can
substitution,fine,1,i
substitution,person,1,you
substitution,can,1,you
substitution,can,1,in
substitution,can,1,my
substitution,can,1,sell
substitution,can,1,know
substitution,can,1,me
substitution,guarantee,1,my
substitution,kind,1,bag
substitution,she,1,you
substitution,she,1,here日수오름
substitution,she,1,be
substitution,she,2,it
substitution,she,1,trappin
substitution,she,1,cold
substitution,she,1,inside
substitution,she,2,roxanne
substitution,she,2,only
substitution,she,1,a
substitution,she,1,shorty
substitution,she,1,if
substitution,she,1,needed
substitution,got,1,can
substitution,got,1,traffic
substitution,got,1,nuts
substitution,got,2,the
substitution,got,1,you
substitution,got,1,love
substitution,got,1,wake
substitution,got,1,ima
substitution,got,1,yeah
substitution,got,1,yummy
substitution,got,1,and
substitution,got,1,nothing
substitution,got,1,just
substitution,got,1,aint
substitution,got,1,now
substitution,got,1,my
substitution,got,1,stomach
substitution,got,1,life
substitution,got,2,your
substitution,got,2,know
substitution,got,1,shit
substitution,got,1,to
substitution,got,1,baby
substitution,got,1,askin
substitution,every,1,imagine
substitution,every,1,love
substitution,every,1,everyday
substitution,every,1,when
substitution,bag,1,big
substitution,bag,1,way
substitution,bag,1,pretty
substitution,bag,1,you
substitution,imagine,1,really
substitution,big,1,be
substitution,big,1,and
substitution,house,1,bragging
substitution,house,1,its
substitution,really,1,my
substitution,really,1,here
substitution,really,1,can
substitution,really,1,or
substitution,braggin,1,like
substitution,hundred,1,whats
substitution,hundred,1,get
substitution,hundred,1,faded
substitution,hundred,1,little
substitution,hundred,1,different
substitution,thousand,1,bad
substitution,mouth,1,the
substitution,mouth,1,her
substitution,mouth,1,on
substitution,like,1,big
substitution,like,1,ns
substitution,like,1,deals
substitution,like,1,shorty
substitution,like,1,babe
substitution,like,1,high
substitution,like,2,ill
substitution,like,1,ball
substitution,whats,1,cheap
substitution,whats,1,my
substitution,happenin,1,she
substitution,not,1,does
substitution,not,1,what
substitution,not,1,think
substitution,the,1,embarrass
substitution,the,1,probably
substitution,the,1,turning
substitution,the,2,a
substitution,the,1,any
substitution,the,1,see
substitution,the,2,dont
substitution,the,3,we
substitution,the,2,eboot
substitution,the,1,fuck
substitution,the,1,swat
substitution,the,4,i
substitution,the,2,get
substitution,the,2,babe
substitution,the,1,my
substitution,the,1,stallion
substitution,the,2,no
substitution,the,2,every
substitution,the,1,around
substitution,the,1,spinning
substitution,the,4,it
substitution,the,1,its
substitution,the,1,hair
